Âge,Niveau,Matière,Objectif principal,Évalué par
5,Initié,Langues et communication,"""Reconnaître les lettres de l’alphabet et leurs sons associés.""",IA
5,Apprenti,Langues et communication,"""Apprendre à former des mots simples en combinant des lettres ou syllabes.""",IA
5,Praticien,Langues et communication,"""Comprendre et suivre des consignes simples données à l’oral.""",Humain
5,Confirmé,Langues et communication,"""Écouter des histoires courtes et répondre à des questions basiques sur le contenu.""",Humain
5,Avancé,Langues et communication,"""Nommer des objets, des couleurs et des animaux courants.""",IA
5,Expert,Langues et communication,"""Commencer à écrire des mots simples et les noms propres.""",Humain
5,Maître,Langues et communication,"""Participer à des discussions courtes en utilisant des phrases complètes.""",Humain
6,Initié,Langues et communication,"""Lire des phrases simples en identifiant les mots familiers.""",IA
6,Apprenti,Langues et communication,"""Écrire des phrases courtes décrivant une image ou une idée.""",IA
6,Praticien,Langues et communication,"""Utiliser des mots descriptifs pour enrichir le vocabulaire (ex. : grand, petit, bleu).""",IA
6,Confirmé,Langues et communication,"""Raconter une courte histoire avec un début, un milieu et une fin.""",Humain
6,Avancé,Langues et communication,"""Poser et répondre à des questions sur des livres ou des images.""",Humain
6,Expert,Langues et communication,"""Reconnaître les rimes et les motifs sonores dans des chansons ou des poèmes.""",Humain
6,Maître,Langues et communication,"""Participer à des activités collectives nécessitant une communication claire.""",Humain
7,Initié,Langues et communication,"""Lire des histoires simples et identifier les personnages principaux.""",IA
7,Apprenti,Langues et communication,"""Écrire des phrases plus longues en utilisant des connecteurs simples comme ""et"" ou ""mais"".""",Humain
7,Praticien,Langues et communication,"""Comprendre le rôle de la ponctuation, comme le point et la virgule, dans une phrase.""",IA
7,Confirmé,Langues et communication,"""Créer des histoires ou des descriptions basées sur des images ou des expériences.""",Humain
7,Avancé,Langues et communication,"""Partager des idées ou opinions simples dans une discussion de groupe.""",Humain
7,Expert,Langues et communication,"""Apprendre à reformuler des phrases pour améliorer leur clarté.""",Humain
7,Maître,Langues et communication,"""Présenter des idées ou des histoires à un petit groupe de manière confiante.""",Humain
8,Initié,Langues et communication,"""Identifier les idées principales dans des textes courts et illustrés.""",IA
8,Apprenti,Langues et communication,"""Utiliser des indices contextuels pour comprendre des mots inconnus.""",IA
8,Praticien,Langues et communication,"""Décrire des personnages et des événements simples à l'oral et à l'écrit.""",Humain
8,Confirmé,Langues et communication,"""Comparer les personnages ou les décors dans différentes histoires.""",Humain
8,Avancé,Langues et communication,"""Écrire des récits avec un début, un milieu et une fin bien définis.""",Humain
8,Expert,Langues et communication,"""Construire des phrases complexes en utilisant des connecteurs simples.""",Humain
8,Maître,Langues et communication,"""Résumer de manière concise des histoires ou des textes informatifs.""",IA
9,Initié,Langues et communication,"""Lire des textes simples et répondre à des questions basiques de compréhension.""",IA
9,Apprenti,Langues et communication,"""Écrire des phrases descriptives en utilisant des adjectifs et des adverbes.""",IA
9,Praticien,Langues et communication,"""Reconnaître les thèmes récurrents dans des récits courts ou des poèmes.""",Humain
9,Confirmé,Langues et communication,"""Utiliser des dialogues dans des histoires pour développer les personnages.""",Humain
9,Avancé,Langues et communication,"""Réviser et améliorer les brouillons pour la grammaire et la ponctuation.""",Humain
9,Expert,Langues et communication,"""Comparer les perspectives de différents personnages dans une histoire.""",Humain
9,Maître,Langues et communication,"""Analyser comment un décor influence l'intrigue d'une histoire.""",Humain
10,Initié,Langues et communication,"""Identifier les métaphores et les comparaisons dans des textes littéraires.""",IA
10,Apprenti,Langues et communication,"""Rédiger des paragraphes structurés avec une idée principale claire.""",IA
10,Praticien,Langues et communication,"""Analyser les émotions des personnages à travers leurs actions et dialogues.""",Humain
10,Confirmé,Langues et communication,"""Résumer l'évolution des personnages dans des récits complexes.""",Humain
10,Avancé,Langues et communication,"""Explorer le ton et l’humeur dans les poèmes ou les textes narratifs.""",Humain
10,Expert,Langues et communication,"""Utiliser des citations pour justifier une interprétation littéraire.""",IA
10,Maître,Langues et communication,"""Écrire des analyses courtes sur l’impact du choix des mots d’un auteur.""",Humain
11,Initié,Langues et communication,"""Analyser le message principal et les détails clés dans des textes complexes.""",IA
11,Apprenti,Langues et communication,"""Différencier les faits des opinions dans des articles ou des essais.""",IA
11,Praticien,Langues et communication,"""Examiner l'usage du symbolisme et du ton dans des passages littéraires.""",Humain
11,Confirmé,Langues et communication,"""Résumer efficacement des textes longs tout en respectant leur intention.""",IA
11,Avancé,Langues et communication,"""Identifier les erreurs de logique dans des arguments écrits.""",IA
11,Expert,Langues et communication,"""Comparer les points de vue de deux auteurs sur un même sujet.""",Humain
11,Maître,Langues et communication,"""Rédiger des essais bien structurés en utilisant des preuves textuelles.""",Humain
12,Initié,Langues et communication,"""Identifier la structure des textes narratifs et informatifs pour comprendre les idées principales.""",IA
12,Apprenti,Langues et communication,"""Comparer les thèmes, le ton et les intentions d’auteurs dans différents types de textes.""",Humain
12,Praticien,Langues et communication,"""Résumer des textes de manière concise en conservant les idées principales.""",IA
12,Confirmé,Langues et communication,"""Analyser le point de vue de l’auteur et l’influence de son contexte personnel.""",Humain
12,Avancé,Langues et communication,"""Explorer les dispositifs littéraires comme la métaphore et le symbolisme dans les œuvres étudiées.""",Humain
12,Expert,Langues et communication,"""Rédiger des réponses analytiques en justifiant ses interprétations avec des preuves textuelles.""",IA
12,Maître,Langues et communication,"""Créer des essais explicatifs ou argumentatifs avec des structures logiques claires.""",IA
13,Initié,Langues et communication,"""Comprendre les caractéristiques des genres littéraires comme la poésie, le théâtre et la prose.""",Humain
13,Apprenti,Langues et communication,"""Analyser comment les dispositifs littéraires renforcent les thèmes dans une œuvre.""",Humain
13,Praticien,Langues et communication,"""Examiner les thèmes récurrents dans des œuvres de différents genres et auteurs.""",Humain
13,Confirmé,Langues et communication,"""Rédiger des œuvres originales inspirées des styles ou thèmes des genres étudiés.""",Humain
13,Avancé,Langues et communication,"""Participer à des discussions pour partager des idées sur les textes étudiés.""",Humain
13,Expert,Langues et communication,"""Explorer comment l’organisation narrative affecte l’impact d’une histoire ou d’un poème.""",Humain
13,Maître,Langues et communication,"""Développer une analyse comparative approfondie entre deux œuvres ou auteurs.""",Humain
14,Initié,Langues et communication,"""Réaliser des présentations structurées en articulant clairement ses idées.""",Humain
